id,type,url,street,city,postalCode,raoSocial,latitude,longitude,minutsLatitude,minutsLongitude,RENTADOR,CANVI,SUPER,LAVABO,PARKING,VENDING
42378,BOTIGA,https://www.bonarea.com/botiga/42378,LLUIS PUIGJANER 2,OLESA DE MONTSERRAT,,,41.543228242952445,1.8928751349449158,41° 32' 35'',1° 53' 34'',,,,,,
42382,BOTIGA,https://www.bonarea.com/botiga/42382,PZ MAGDALENA TRIAS 7,GAVA,,,41.307416912266426,2.0021483302116394,41° 18' 26'',2° 00' 07'',,,,,,
42384,BOTIGA,https://www.bonarea.com/botiga/42384,"SANT MIQUEL, 34","MASNOU, EL",,,41.48090708120268,2.316916286945343,41° 28' 51'',2° 19' 00'',,,,,,
42390,BOTIGA,https://www.bonarea.com/botiga/42390,EMPORDA 6,BARBERA DEL VALLES,,,41.51014196990784,2.117440402507782,41° 30' 36'',2° 07' 02'',,,,,,
42393,BOTIGA,https://www.bonarea.com/botiga/42393,CRAYWINCKEL 8,BARCELONA,,,41.41202079685359,2.1393728256225586,41° 24' 43'',2° 08' 21'',,,,,,
42397,BOTIGA,https://www.bonarea.com/botiga/42397,VITORIA 4,MATARO,,,41.53925324247598,2.425784468650818,41° 32' 21'',2° 25' 32'',,,,,,
42398,BOTIGA,https://www.bonarea.com/botiga/42398,AV GENERALITAT 91,TORTOSA,,,40.807907768314536,0.520203709602356,40° 48' 28'',0° 31' 12'',,,,,,
42400,BOTIGA,https://www.bonarea.com/botiga/42400,AV.TARRAGONA 22,VILAFRANCA DEL PENEDES,,,41.34359300610214,1.6974413394927979,41° 20' 36'',1° 41' 50'',,,,,,
42401,BOTIGA,https://www.bonarea.com/botiga/42401,FELIX LATASSA 28,ZARAGOZA,,,41.6417882044429,-0.8930280804634094,41° 38' 30'',-0° 53' 34'',,,,,,
42408,BOTIGA,https://www.bonarea.com/botiga/42408,CL LOPEZ DE HOYOS 108,MADRID,,,40.44376070237167,-3.6746960878372192,40° 26' 37'',-3° 40' 28'',,,,,,
42413,BOTIGA,https://www.bonarea.com/botiga/42413,MANUEL BESCOS 1,HUESCA,,,42.13406157152217,-0.40752679109573364,42° 08' 02'',-0° 24' 27'',,,,,,
42414,BOTIGA,https://www.bonarea.com/botiga/42414,CAMINO DE LA BARCA 1,BARBASTRO,,,42.03480716361616,0.1306450366973877,42° 02' 05'',0° 07' 50'',,,,,,
42416,BOTIGA,https://www.bonarea.com/botiga/42416,CARRIO 31,MANRESA,,,41.72874669032413,1.822931170463562,41° 43' 43'',1° 49' 22'',,,,,,
42417,BOTIGA,https://www.bonarea.com/botiga/42417,CAVALLERS 18,PALAFRUGELL,,,41.917055,3.163504,41° 55' 01'',3° 09' 48'',,,,,,
42422,BOTIGA,https://www.bonarea.com/botiga/42422,DEL TORRENTO 29,LLORET DE MAR,,,41.70037771612106,2.8448018431663513,41° 42' 01'',2° 50' 41'',,,,,,
42424,BOTIGA,https://www.bonarea.com/botiga/42424,VILARDELL 35,BARCELONA,,,41.37456842266314,2.1450188755989075,41° 22' 28'',2° 08' 42'',,,,,,
42427,BOTIGA,https://www.bonarea.com/botiga/42427,"CL BONAVISTA, 70",SANT JUST DESVERN,,,41.38340375899247,2.0772287249565125,41° 23' 00'',2° 04' 38'',,,,,,
42430,BOTIGA,https://www.bonarea.com/botiga/42430,BONVIATGE 26,SANT JOAN DESPI,,,41.36576208129659,2.057640552520752,41° 21' 56'',2° 03' 27'',,,,,,
42432,BOTIGA,https://www.bonarea.com/botiga/42432,PASSEIG DE LA PAU 16,BERGA,,,42.100268293586616,1.844455897808075,42° 06' 00'',1° 50' 40'',,,,,,
42434,BOTIGA,https://www.bonarea.com/botiga/42434,EUROPA 173,"HOSPITALET DE LLOBREGAT, L'",,,41.3559881631087,2.1129879355430603,41° 21' 21'',2° 06' 46'',,,,,,
42435,BOTIGA,https://www.bonarea.com/botiga/42435,AV.MENENDEZ PIDAL 14,HUESCA,,,42.138095266716455,-0.41702717542648315,42° 08' 17'',-0° 25' 01'',,,,,,
42436,BOTIGA,https://www.bonarea.com/botiga/42436,DEL PI 3,ESPARREGUERA,,,41.534059275194956,1.8707817792892456,41° 32' 02'',1° 52' 14'',,,,,,
42437,BOTIGA,https://www.bonarea.com/botiga/42437,RAMON Y CAJAL 27,SANT FELIU DE LLOBREGAT,,,41.379749,2.041995,41° 22' 47'',2° 02' 31'',,,,,,
42441,BOTIGA,https://www.bonarea.com/botiga/42441,GONZALEZ 19,CERDANYOLA DEL VALLES,,,41.49063007020506,2.144729197025299,41° 29' 26'',2° 08' 41'',,,,,,
42442,BOTIGA,https://www.bonarea.com/botiga/42442,VALENCIA 18,TORTOSA,,,40.814893239842235,0.5181732773780823,40° 48' 53'',0° 31' 05'',,,,,,
42445,BOTIGA,https://www.bonarea.com/botiga/42445,"BERLIN, 20",BARCELONA,,,41.382715,2.137911,41° 22' 57'',2° 08' 16'',,,,,,
42447,BOTIGA,https://www.bonarea.com/botiga/42447,AV MORERA 101,BADALONA,,,41.462052,2.248236,41° 27' 43'',2° 14' 53'',,,,,,
42454,BOTIGA,https://www.bonarea.com/botiga/42454,INDUSTRIA I MOLI DE LA SAL 4,CANOVELLES,,,41.61576316720303,2.280392646789551,41° 36' 56'',2° 16' 49'',,,,,,
42456,BOTIGA,https://www.bonarea.com/botiga/42456,ALFONS IV 85,GRANOLLERS,,,41.60338551026787,2.287881374359131,41° 36' 12'',2° 17' 16'',,,,,,
42458,BOTIGA,https://www.bonarea.com/botiga/42458,CL MERCAT 6,"LLAGOSTA, LA",,,41.513333463132255,2.1935105323791504,41° 30' 48'',2° 11' 36'',,,,,,
42460,BOTIGA,https://www.bonarea.com/botiga/42460,VILLARROEL 137,BARCELONA,,,41.38679065506765,2.154639959335327,41° 23' 12'',2° 09' 16'',,,,,,
42462,BOTIGA,https://www.bonarea.com/botiga/42462,PS DE JAUME I 28,MONTCADA I REIXAC,,,41.482299613654234,2.1889400482177734,41° 28' 56'',2° 11' 20'',,,,,,
42464,BOTIGA,https://www.bonarea.com/botiga/42464,AV MAS D'EN SERRA 14,"ROQUETES, LES",,,41.23020169635274,1.7456567287445068,41° 13' 48'',1° 44' 44'',,,,,,
42468,BOTIGA,https://www.bonarea.com/botiga/42468,AV RAMON Y CAJAL 3,"ALMUNIA DE DOÑA GODINA, LA",,,41.47877100285302,-1.3756191730499268,41° 28' 43'',-1° 22' 32'',,,,,,
42469,BOTIGA,https://www.bonarea.com/botiga/42469,AV ARAGON 59,ALCAÑIZ,,,41.048251789021286,-0.12958019971847534,41° 02' 53'',-0° 07' 46'',,,,,,
42473,BOTIGA,https://www.bonarea.com/botiga/42473,ARIBAU 2,BADALONA,,,41.4352785716902,2.2192704677581787,41° 26' 07'',2° 13' 09'',,,,,,
42475,BOTIGA,https://www.bonarea.com/botiga/42475,RIERA BASTE 31,SANT BOI DE LLOBREGAT,,,41.34599933309105,2.035346031188965,41° 20' 45'',2° 02' 07'',,,,,,
42476,BOTIGA,https://www.bonarea.com/botiga/42476,POMPEU FABRA 14,CASTELLBISBAL,,,41.476327387567785,1.9814229011535645,41° 28' 34'',1° 58' 53'',,,,,,
42479,BOTIGA,https://www.bonarea.com/botiga/42479,PL MIRAMAR 3,MONT-ROIG DEL CAMP,,,41.0863342478166,0.9606921672821045,41° 05' 10'',0° 57' 38'',,,,,,
42481,BOTIGA,https://www.bonarea.com/botiga/42481,"PASSATGE BURRULL, 6",BARCELONA,,,41.40397195676433,2.197595536708832,41° 24' 14'',2° 11' 51'',,,,,,
42482,BOTIGA,https://www.bonarea.com/botiga/42482,CL SANTA EUGENIA 48,GIRONA,,,41.980602776073326,2.814771831035614,41° 58' 50'',2° 48' 53'',,,,,,
42483,BOTIGA,https://www.bonarea.com/botiga/42483,SANT JOAN 43,"AMETLLA DE MAR, L'",,,40.88488392182237,0.8033376932144165,40° 53' 05'',0° 48' 12'',,,,,,
42484,BOTIGA,https://www.bonarea.com/botiga/42484,CL INDEPENDENCIA 156,BADALONA,,,41.45901848861653,2.241862714290619,41° 27' 32'',2° 14' 30'',,,,,,
42485,BOTIGA,https://www.bonarea.com/botiga/42485,PL LLIVIA 6,SABADELL,,,41.56946313796986,2.0840388536453247,41° 34' 10'',2° 05' 02'',,,,,,
42489,BOTIGA,https://www.bonarea.com/botiga/42489,"CR DE BARCELONA, 652",SABADELL,,,41.525471349151644,2.120511531829834,41° 31' 31'',2° 07' 13'',,,,,,
42490,BOTIGA,https://www.bonarea.com/botiga/42490,"CR DOCTOR MARTI JULIA, 50","HOSPITALET DE LLOBREGAT, L'",,,41.37410347764757,2.1218955516815186,41° 22' 26'',2° 07' 18'',,,,,,
42495,BOTIGA,https://www.bonarea.com/botiga/42495,CL SEBASTIA JOAN ARBO 17,DELTEBRE,,,40.71579367691009,0.7362449169158936,40° 42' 56'',0° 44' 10'',,,,,,
42496,BOTIGA,https://www.bonarea.com/botiga/42496,CL VALLE DE ZURIZA 19,ZARAGOZA,,,41.6612637,-0.872266,41° 39' 40'',-0° 52' 20'',,,,,,
42497,BOTIGA,https://www.bonarea.com/botiga/42497,CL MARE DE DEU DE LORDA 109,BADALONA,,,41.44036183209058,2.2186481952667236,41° 26' 25'',2° 13' 07'',,,,,,
